Date,Close,High,Low,Open,Volume
2020-10-28,6474.39990234375,6563.7998046875,6423.2998046875,6560.7998046875,323758000
2020-10-29,6411.7998046875,6514.0,6329.5,6467.7001953125,298195700
2020-10-30,6452.2001953125,6461.60009765625,6345.2998046875,6351.39990234375,260708300
2020-11-02,6585.60009765625,6590.7001953125,6396.2998046875,6481.39990234375,222245200
2020-11-03,6751.60009765625,6760.7998046875,6608.7001953125,6636.10009765625,281852500
2020-11-04,6781.89990234375,6790.7998046875,6563.7001953125,6616.7001953125,274816200
2020-11-05,6924.2001953125,6948.2998046875,6814.2001953125,6833.5,255824700
2020-11-06,6870.39990234375,6940.39990234375,6829.39990234375,6890.60009765625,206308100
2020-11-09,7459.39990234375,7535.2998046875,6945.7998046875,6972.2998046875,751200600
2020-11-10,7711.39990234375,7720.2998046875,7439.5,7447.10009765625,705610500
2020-11-11,7793.7001953125,7804.60009765625,7675.7998046875,7733.7998046875,401246900
2020-11-12,7726.0,7773.2998046875,7688.0,7721.7001953125,309657400
2020-11-13,7783.7001953125,7823.10009765625,7686.2001953125,7698.60009765625,297808600
2020-11-16,7986.2001953125,8102.39990234375,7879.0,7905.89990234375,601880600
2020-11-17,7934.2998046875,7979.0,7835.7998046875,7979.0,428970100
2020-11-18,7981.5,7994.2998046875,7888.7001953125,7914.10009765625,296385800
2020-11-19,7930.2001953125,7978.7998046875,7863.89990234375,7907.2001953125,261607300
2020-11-20,7977.89990234375,8001.10009765625,7920.0,7938.7998046875,232651500
2020-11-23,7981.2001953125,8067.2998046875,7972.2001953125,8029.10009765625,278313000
2020-11-24,8143.2001953125,8143.2001953125,8045.2998046875,8052.39990234375,351639600
2020-11-25,8164.7001953125,8199.900390625,8084.39990234375,8172.39990234375,294450000
2020-11-26,8104.60009765625,8184.89990234375,8086.7001953125,8184.7998046875,218317400
2020-11-27,8190.7001953125,8190.7001953125,8054.39990234375,8069.10009765625,415126100
2020-11-30,8076.89990234375,8165.2001953125,8075.39990234375,8130.60009765625,544905000
2020-12-01,8140.7998046875,8176.39990234375,8100.2001953125,8112.7001953125,284946100
2020-12-02,8220.7998046875,8226.2001953125,8104.2001953125,8111.10009765625,310837500
2020-12-03,8200.7001953125,8223.400390625,8154.7998046875,8208.099609375,233469300
2020-12-04,8322.900390625,8322.900390625,8197.0,8201.2001953125,352968100
2020-12-07,8275.599609375,8296.400390625,8225.5,8283.2998046875,228160200
2020-12-08,8227.599609375,8273.599609375,8206.2998046875,8262.400390625,202823300
2020-12-09,8235.2998046875,8292.599609375,8223.099609375,8262.2001953125,212038900
2020-12-10,8182.2998046875,8284.2998046875,8124.89990234375,8260.2998046875,272111500
2020-12-11,8063.10009765625,8151.39990234375,7978.10009765625,8147.7998046875,269809400
2020-12-14,8140.7998046875,8222.5,8140.5,8160.2001953125,225309600
2020-12-15,8152.39990234375,8166.60009765625,8099.7001953125,8153.2001953125,213877000
2020-12-16,8139.5,8209.7001953125,8104.39990234375,8166.39990234375,218432700
2020-12-17,8153.39990234375,8180.7998046875,8110.5,8164.60009765625,193099700
2020-12-18,8037.39990234375,8159.39990234375,8036.7001953125,8114.2998046875,355173100
2020-12-21,7789.7998046875,7872.2998046875,7663.5,7860.89990234375,339116800
2020-12-22,7934.2001953125,7942.39990234375,7818.0,7822.0,187112500
2020-12-23,8073.60009765625,8084.2001953125,7940.0,7948.7998046875,183108500
2020-12-24,8111.5,8112.39990234375,8073.2998046875,8101.2001953125,83708200
2020-12-28,8155.60009765625,8192.099609375,8122.2001953125,8179.2998046875,147457600
2020-12-29,8174.7998046875,8225.7998046875,8167.0,8203.2001953125,143794800
2020-12-30,8154.39990234375,8194.2001953125,8149.7998046875,8174.2001953125,129930500
2020-12-31,8073.7001953125,8129.7998046875,8073.7001953125,8116.89990234375,82261100
2021-01-04,8099.2001953125,8207.2001953125,8053.0,8191.7998046875,213153000
2021-01-05,8091.5,8118.10009765625,8037.39990234375,8052.2001953125,173796400
2021-01-06,8350.2998046875,8383.7001953125,8134.10009765625,8179.7998046875,275695700
2021-01-07,8385.7998046875,8399.5,8274.099609375,8383.7998046875,247341500
2021-01-08,8407.7001953125,8439.7001953125,8366.2001953125,8439.7001953125,204981400
2021-01-11,8357.5,8411.900390625,8317.0,8369.2001953125,188251800
2021-01-12,8345.900390625,8396.2998046875,8322.400390625,8375.2001953125,207298100
2021-01-13,8361.099609375,8386.599609375,8318.7001953125,8353.900390625,206409700
2021-01-14,8372.400390625,8394.400390625,8335.900390625,8360.900390625,196757600
2021-01-15,8230.7001953125,8361.7001953125,8173.7998046875,8332.2001953125,251305100
2021-01-18,8254.5,8259.400390625,8180.7001953125,8194.7001953125,122092800
2021-01-19,8199.0,8320.2001953125,8198.400390625,8303.7001953125,162964400
2021-01-20,8204.099609375,8240.900390625,8140.2998046875,8220.2998046875,147519500
2021-01-21,8122.10009765625,8275.900390625,8117.89990234375,8234.5,179934200
2021-01-22,8036.39990234375,8078.10009765625,7971.10009765625,8072.7001953125,233703000
2021-01-25,7897.2998046875,8085.7998046875,7846.0,8076.89990234375,218852300
2021-01-26,7964.89990234375,8008.5,7907.7001953125,7907.7001953125,177642900
2021-01-27,7852.7001953125,7995.5,7782.5,7950.39990234375,208275300
2021-01-28,7932.5,7958.89990234375,7713.5,7767.2001953125,201655300
2021-01-29,7757.5,7882.89990234375,7757.2998046875,7825.7998046875,250623200
2021-02-01,7798.2001953125,7842.2998046875,7779.7998046875,7823.0,182007000
2021-02-02,7950.89990234375,7958.89990234375,7828.10009765625,7844.60009765625,238438100
2021-02-03,8012.7998046875,8088.2001953125,7983.2998046875,8048.2001953125,220821600
